SUBAREAID,PERIOD,TRIPPURP,MODE,TRIPS
1,pk,HBW,Walk,20386
1,pk,HBC,Walk,26873
1,pk,HBO,Walk,154345
1,pk,NHB,Walk,56088
1,pk,HBSch,Walk,69291
1,pk,HBW,Bike,12450
1,pk,HBC,Bike,2180
1,pk,HBO,Bike,19426
1,pk,NHB,Bike,5907
1,pk,HBSch,Bike,9370
1,pk,HBW,Auto,927364
1,pk,HBC,Auto,79594
1,pk,HBO,Auto,1898027
1,pk,NHB,Auto,868432
1,pk,HBSch,Auto,312819
1,pk,HBW,RegAuto,927197
1,pk,HBC,RegAuto,79594
1,pk,HBO,RegAuto,1897166
1,pk,NHB,RegAuto,868119
1,pk,HBSch,RegAuto,312819
1,pk,HBW,IMZD2D,167
1,pk,HBC,IMZD2D,0
1,pk,HBO,IMZD2D,861
1,pk,NHB,IMZD2D,313
1,pk,HBSch,IMZD2D,0
1,pk,HBW,SchoolBus,0
1,pk,HBC,SchoolBus,0
1,pk,HBO,SchoolBus,0
1,pk,NHB,SchoolBus,0
1,pk,HBSch,SchoolBus,51271
1,pk,HBW,LCL,9504
1,pk,HBC,LCL,8719
1,pk,HBO,LCL,4147
1,pk,NHB,LCL,730
1,pk,HBSch,LCL,0
1,pk,HBW,COR,1028
1,pk,HBC,COR,179
1,pk,HBO,COR,529
1,pk,NHB,COR,72
1,pk,HBSch,COR,0
1,pk,HBW,BRT,1279
1,pk,HBC,BRT,4960
1,pk,HBO,BRT,746
1,pk,NHB,BRT,219
1,pk,HBSch,BRT,0
1,pk,HBW,EXP,498
1,pk,HBC,EXP,109
1,pk,HBO,EXP,44
1,pk,NHB,EXP,15
1,pk,HBSch,EXP,0
1,pk,HBW,LRT,8877
1,pk,HBC,LRT,4881
1,pk,HBO,LRT,5006
1,pk,NHB,LRT,770
1,pk,HBSch,LRT,0
1,pk,HBW,CRT,5142
1,pk,HBC,CRT,4086
1,pk,HBO,CRT,1099
1,pk,NHB,CRT,222
1,pk,HBSch,CRT,0
1,ok,HBW,Walk,29138
1,ok,HBC,Walk,0
1,ok,HBO,Walk,297750
1,ok,NHB,Walk,141383
1,ok,HBSch,Walk,38855
1,ok,HBW,Bike,8318
1,ok,HBC,Bike,0
1,ok,HBO,Bike,40683
1,ok,NHB,Bike,12991
1,ok,HBSch,Bike,5205
1,ok,HBW,Auto,837297
1,ok,HBC,Auto,0
1,ok,HBO,Auto,3738310
1,ok,NHB,Auto,1733070
1,ok,HBSch,Auto,175711
1,ok,HBW,RegAuto,837176
1,ok,HBC,RegAuto,0
1,ok,HBO,RegAuto,3737008
1,ok,NHB,RegAuto,1732592
1,ok,HBSch,RegAuto,175711
1,ok,HBW,IMZD2D,121
1,ok,HBC,IMZD2D,0
1,ok,HBO,IMZD2D,1302
1,ok,NHB,IMZD2D,478
1,ok,HBSch,IMZD2D,0
1,ok,HBW,SchoolBus,0
1,ok,HBC,SchoolBus,0
1,ok,HBO,SchoolBus,0
1,ok,NHB,SchoolBus,0
1,ok,HBSch,SchoolBus,28613
1,ok,HBW,LCL,6945
1,ok,HBC,LCL,0
1,ok,HBO,LCL,11499
1,ok,NHB,LCL,1825
1,ok,HBSch,LCL,0
1,ok,HBW,COR,737
1,ok,HBC,COR,0
1,ok,HBO,COR,1302
1,ok,NHB,COR,186
1,ok,HBSch,COR,0
1,ok,HBW,BRT,635
1,ok,HBC,BRT,0
1,ok,HBO,BRT,1788
1,ok,NHB,BRT,920
1,ok,HBSch,BRT,0
1,ok,HBW,EXP,0
1,ok,HBC,EXP,0
1,ok,HBO,EXP,0
1,ok,NHB,EXP,0
1,ok,HBSch,EXP,0
1,ok,HBW,LRT,7212
1,ok,HBC,LRT,0
1,ok,HBO,LRT,10698
1,ok,NHB,LRT,2176
1,ok,HBSch,LRT,0
1,ok,HBW,CRT,2335
1,ok,HBC,CRT,0
1,ok,HBO,CRT,2370
1,ok,NHB,CRT,304
1,ok,HBSch,CRT,0
