;TAZID,TOTHH,HHPOP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38.5,184.6,0,0,0,0,0,0,0,0,0,0,10.4,2
3,18.5,65.7,0,0,0,0,0,0,0,0,0,0,1.9,1
4,5.3,14.5,0,0,0,0,0,0,0,0,0,0,0.9,0.3
5,70.5,170.1,0.8,0.5,1.6,0.5,0.4,0.9,3.5,1.9,0,0,6.6,3.7
6,8.6,22.8,0,0,0,4.4,0,0,0,0,0,0,1.9,0.5
7,44,102.5,5.7,2.8,9,15.1,2.1,5.3,4.8,19,93,0,0,2.3
8,53.2,142.9,13,0.2,0.5,0.2,28,0.3,0.3,2.2,0,0,2.8,2.8
9,37.1,44.4,2.8,1.8,5.8,46.4,1.3,3.4,3.1,6.8,0,0,7.6,2
10,19.7,54.3,0,0,0,52.6,0,0,0,0,0,0,0.9,1
11,8.3,20.1,0,0,0,0,0,0,0,0,0,0,1.9,0.4
12,21.4,61.4,0,0,0,0,0,0,0,0,0,0,2.8,1.1
13,14.4,34.7,0,0,0,0,0,0,0,0,0,0,3.8,0.8
14,24.7,59.3,0,0,0,0,0,0,0,0,0,0,8.5,1.3
15,1,2.4,16.7,10.8,119.7,79.4,7.8,20.3,18.1,48.5,21.1,0,0.9,0.1
16,87.4,217.3,0,0,0.5,35.5,0,0,0,30.9,0,0,30.2,4.6
17,254.5,1277.4,0,0,0,0,0,0,0,0,0,0,124.7,13.5
18,0,0,38.9,25,441.1,123.6,18.1,47.2,42,93.8,0,0,1.9,0
19,207.4,626,17.5,2.3,7.4,6.6,1.7,4.4,3.9,8.7,0,0,16.1,11
20,195.6,413.8,21.6,7.5,23.7,8.8,5.4,14,12.6,57.4,0,0,17,10.3
21,82.4,205.3,17.1,11.1,331,27.5,8,20.9,18.6,41.6,0,0,33.1,4.4
22,91.9,228.5,11.6,7.9,30.8,8,5.8,14.5,13.8,29.3,0,0,30.2,4.9
23,77.8,311.9,16.4,11,49,23.5,8,20.4,18.6,41,0,0,17.9,4.1
24,149.1,533.7,1.5,1,3.2,1,0.8,1.9,3.1,3.8,0,0,16.1,7.9
25,300,730.5,7.2,2.5,8.1,2.9,1.8,106.5,20.4,12.3,0,0,0,15.9
26,183,279.7,13.7,1,8.5,7.2,0.7,43.3,86,22.7,0,0,0,9.7
27,129.4,322.4,1.4,1,3,1,0.7,1.8,1.7,3.6,0,0,64.2,6.8
28,219.3,323.2,23.6,15.8,103.2,17.2,11.5,29.3,26.6,58.8,0,0,62.3,11.6
29,199.8,481.3,0.3,0.2,0.7,1.1,0.2,0.4,0.4,0.8,0,0,17,10.6
30,309.3,680,9.4,0,0,2.1,30.6,0,33.6,7.6,0,0,0,16.4
31,200,418.1,2.6,55.7,47,0,33.2,0,0,41.7,0,0,0,10.6
32,130.1,344.6,0.3,0.2,0.7,1.1,0.2,0.4,0.4,0.8,0,0,0,6.9
33,154.3,462,0.5,0.3,1.1,7,0.2,0.6,0.6,1.3,0,0,0,8.2
34,173.3,416,1.4,0,9.9,0,5,0,0,0,0,0,0,9.2
35,257.1,600.7,0,0,0,0,0,0,0,0,0,0,0,13.6
36,126.8,205.5,0,0,0,0,0,0,0,0,0,0,12.3,6.7
37,77.4,114.1,9.6,6.6,20.2,6.5,4.9,12,11.5,29.4,0,0,28.3,4.1
38,2.3,5.8,13.1,8.5,1138.3,9.5,6.2,24.4,14.3,31.9,0,0,0.9,0.1
39,78.5,183.9,17.4,3.1,9.8,3.4,2.2,5.8,8,137.9,0,0,6.6,4.2
40,338.7,633.1,30.5,1.1,3.6,7.7,48.5,75.9,34,63.1,0,0,0,17.9
41,107.7,202.3,208.6,19,60.6,21.3,13.7,35.7,61.5,191.3,0,0,1.9,5.7
42,70,215,0,0,0,0,2,0,0,79.7,0,0,0,3.7
43,205.4,616.7,0.4,0.3,0.8,0.5,0.2,32.6,46.6,1,0,0,0,10.9
44,163.6,411.1,0,0,0,0,0,0,0,0,0,0,5.7,8.6
45,156.1,417.3,0,0,0,0,25.8,0,0,0,0,0,16.1,8.3
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,11.4,37.1,0,0,0,0,0,0,0,0,0,0,1.9,0.6
49,96.7,241,88.1,39.3,46.7,16.2,10.7,27.5,24.9,55.1,0,0,43.4,5.1
50,154.3,383.7,27.8,18,62.1,35.5,42,128.4,93.2,68.7,0,0,49.1,8.2
51,69,297.4,3.6,2.4,14.1,18.6,16.8,4.4,20.1,8.8,0,0,13.2,3.6
52,46,85.7,0,0,77.5,0,0,0,14.1,1708.8,0,0,0,2.4
