Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
HBC,Pk,P,5,6.0,6.0,0.0,6.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,5,16.42,13.94,0.01,13.94,2.49,0.02,0.0,Closer05
HBSch,Pk,A,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,6,8.17,7.7,0.06,7.71,0.46,0.33,0.01,Closer05
All,Pk,A,6,12.66,12.11,0.08,12.11,0.55,0.48,0.0,Closer05
HBW,Pk,P,6,1.53,1.48,0.02,1.48,0.05,0.03,0.0,Closer05
HBW,Pk,A,6,5.53,5.47,0.02,5.47,0.06,0.03,0.0,Closer05
HBO,Pk,P,6,5.23,4.9,0.04,4.9,0.33,0.29,0.01,Closer05
HBO,Pk,A,6,6.25,5.77,0.05,5.77,0.48,0.43,0.0,Closer05
NHB,Pk,P,6,0.87,0.85,0.0,0.85,0.02,0.01,0.0,Closer05
NHB,Pk,A,6,0.88,0.86,0.0,0.86,0.02,0.01,0.0,Closer05
HBC,Pk,P,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,6,0.54,0.47,0.0,0.47,0.07,0.0,0.0,Closer05
HBSch,Pk,A,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,7,128.88,119.15,0.82,119.51,9.38,7.49,0.36,Closer05
All,Pk,A,7,102.85,95.21,0.6,95.21,7.64,7.04,0.0,Closer05
HBW,Pk,P,7,26.39,25.49,0.28,25.52,0.87,0.6,0.03,Closer05
HBW,Pk,A,7,30.97,30.25,0.16,30.25,0.72,0.56,0.0,Closer05
HBO,Pk,P,7,80.75,73.4,0.51,73.73,7.03,6.52,0.33,Closer05
HBO,Pk,A,7,58.61,52.08,0.41,52.08,6.53,6.12,0.0,Closer05
NHB,Pk,P,7,14.07,13.68,0.03,13.68,0.39,0.36,0.0,Closer05
NHB,Pk,A,7,13.27,12.88,0.03,12.88,0.4,0.36,0.0,Closer05
HBC,Pk,P,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,7,7.66,6.58,0.0,6.58,1.08,0.01,0.0,Closer05
HBSch,Pk,A,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,8,249.05,240.96,1.65,241.16,7.89,4.26,0.2,Closer05
All,Pk,A,8,155.98,150.12,1.24,150.12,5.86,4.62,0.0,Closer05
HBW,Pk,P,8,39.93,38.93,0.55,38.97,0.96,0.41,0.04,Closer05
HBW,Pk,A,8,34.75,34.01,0.29,34.01,0.74,0.45,0.0,Closer05
HBO,Pk,P,8,112.56,108.12,0.94,108.27,4.29,3.35,0.15,Closer05
HBO,Pk,A,8,87.18,82.74,0.79,82.74,4.44,3.65,0.0,Closer05
NHB,Pk,P,8,35.69,35.05,0.16,35.05,0.64,0.48,0.0,Closer05
NHB,Pk,A,8,34.05,33.38,0.16,33.38,0.67,0.51,0.0,Closer05
HBC,Pk,P,8,48.0,48.0,0.0,48.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,8,12.87,10.86,0.0,10.86,2.0,0.02,0.0,Closer05
HBSch,Pk,A,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,9,51.18,47.61,0.36,47.64,3.54,2.8,0.04,Closer05
All,Pk,A,9,150.79,146.66,0.74,146.66,4.13,3.39,0.0,Closer05
HBW,Pk,P,9,9.69,9.06,0.14,9.06,0.63,0.5,0.0,Closer05
HBW,Pk,A,9,82.5,81.61,0.34,81.61,0.89,0.55,0.0,Closer05
HBO,Pk,P,9,29.45,27.05,0.2,27.09,2.36,2.16,0.04,Closer05
HBO,Pk,A,9,59.29,56.21,0.37,56.21,3.08,2.7,0.0,Closer05
NHB,Pk,P,9,9.35,9.19,0.02,9.19,0.16,0.14,0.0,Closer05
NHB,Pk,A,9,9.0,8.84,0.03,8.84,0.16,0.14,0.0,Closer05
HBC,Pk,P,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,9,2.69,2.31,0.0,2.31,0.38,0.0,0.0,Closer05
HBSch,Pk,A,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,10,74.67,70.53,0.57,70.58,4.08,2.93,0.06,Closer05
All,Pk,A,10,168.61,164.82,0.96,164.82,3.79,2.83,0.0,Closer05
HBW,Pk,P,10,14.58,13.87,0.21,13.87,0.71,0.5,0.0,Closer05
HBW,Pk,A,10,87.72,86.81,0.44,86.81,0.91,0.47,0.0,Closer05
HBO,Pk,P,10,44.56,41.86,0.32,41.92,2.64,2.32,0.05,Closer05
HBO,Pk,A,10,69.95,67.21,0.49,67.21,2.74,2.25,0.0,Closer05
NHB,Pk,P,10,11.52,11.38,0.03,11.38,0.14,0.11,0.0,Closer05
NHB,Pk,A,10,10.94,10.8,0.04,10.8,0.14,0.11,0.0,Closer05
HBC,Pk,P,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,10,4.01,3.42,0.0,3.42,0.59,0.01,0.0,Closer05
HBSch,Pk,A,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,11,25.39,24.78,0.17,24.79,0.6,0.19,0.01,Closer05
All,Pk,A,11,11.71,11.49,0.06,11.49,0.22,0.15,0.0,Closer05
HBW,Pk,P,11,6.18,6.11,0.06,6.12,0.06,0.0,0.0,Closer05
HBW,Pk,A,11,1.66,1.66,0.0,1.66,0.0,0.0,0.0,Closer05
HBO,Pk,P,11,16.18,15.89,0.1,15.9,0.29,0.18,0.01,Closer05
HBO,Pk,A,11,8.66,8.45,0.06,8.45,0.21,0.15,0.0,Closer05
NHB,Pk,P,11,1.34,1.33,0.0,1.33,0.01,0.0,0.0,Closer05
NHB,Pk,A,11,1.39,1.38,0.0,1.38,0.01,0.0,0.0,Closer05
HBC,Pk,P,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,11,1.68,1.44,0.0,1.44,0.24,0.0,0.0,Closer05
HBSch,Pk,A,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,12,57.94,55.79,0.42,55.84,2.09,1.1,0.05,Closer05
All,Pk,A,12,25.05,23.9,0.17,23.9,1.15,0.98,0.0,Closer05
HBW,Pk,P,12,14.02,13.83,0.16,13.84,0.18,0.02,0.01,Closer05
HBW,Pk,A,12,2.07,2.07,0.0,2.07,0.0,0.0,0.0,Closer05
HBO,Pk,P,12,36.62,35.28,0.25,35.32,1.3,1.05,0.04,Closer05
HBO,Pk,A,12,19.58,18.47,0.15,18.47,1.11,0.96,0.0,Closer05
NHB,Pk,P,12,3.33,3.29,0.01,3.29,0.04,0.02,0.0,Closer05
NHB,Pk,A,12,3.4,3.36,0.01,3.36,0.04,0.02,0.0,Closer05
HBC,Pk,P,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,12,3.97,3.39,0.0,3.39,0.58,0.01,0.0,Closer05
HBSch,Pk,A,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBW,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBW,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBO,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBO,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
NHB,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
NHB,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBW,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBW,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBO,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBO,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
NHB,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
NHB,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,15,25.35,25.09,0.07,25.1,0.24,0.14,0.02,Closer05
All,Pk,A,15,337.41,334.97,1.97,334.97,2.44,0.47,0.0,Closer05
HBW,Pk,P,15,0.63,0.61,0.01,0.61,0.02,0.01,0.0,Closer05
HBW,Pk,A,15,238.39,236.88,1.39,236.88,1.5,0.11,0.0,Closer05
HBO,Pk,P,15,2.09,2.02,0.01,2.03,0.06,0.05,0.01,Closer05
HBO,Pk,A,15,78.06,77.27,0.52,77.27,0.79,0.28,0.0,Closer05
NHB,Pk,P,15,22.41,22.27,0.05,22.28,0.13,0.08,0.01,Closer05
NHB,Pk,A,15,20.96,20.82,0.06,20.82,0.14,0.08,0.0,Closer05
HBC,Pk,P,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,15,0.21,0.18,0.0,0.18,0.03,0.0,0.0,Closer05
HBSch,Pk,A,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,16,8.42,8.15,0.06,8.15,0.27,0.18,0.0,Closer05
All,Pk,A,16,129.28,125.85,1.22,125.85,3.43,2.21,0.0,Closer05
HBW,Pk,P,16,0.56,0.53,0.01,0.53,0.03,0.02,0.0,Closer05
HBW,Pk,A,16,70.03,68.97,0.67,68.97,1.06,0.39,0.0,Closer05
HBO,Pk,P,16,2.0,1.91,0.02,1.91,0.1,0.08,0.0,Closer05
HBO,Pk,A,16,53.77,51.52,0.52,51.52,2.25,1.74,0.0,Closer05
NHB,Pk,P,16,5.62,5.51,0.03,5.51,0.11,0.08,0.0,Closer05
NHB,Pk,A,16,5.48,5.36,0.03,5.36,0.12,0.09,0.0,Closer05
HBC,Pk,P,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,16,0.23,0.2,0.0,0.2,0.03,0.0,0.0,Closer05
HBSch,Pk,A,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,17,10.65,10.26,0.09,10.26,0.39,0.18,0.0,Closer05
All,Pk,A,17,4.4,4.34,0.03,4.34,0.07,0.04,0.0,Closer05
HBW,Pk,P,17,2.95,2.89,0.03,2.89,0.06,0.03,0.0,Closer05
HBW,Pk,A,17,0.81,0.81,0.0,0.81,0.0,0.0,0.0,Closer05
HBO,Pk,P,17,6.48,6.28,0.05,6.28,0.2,0.15,0.0,Closer05
HBO,Pk,A,17,3.11,3.05,0.03,3.05,0.06,0.03,0.0,Closer05
NHB,Pk,P,17,0.41,0.41,0.0,0.41,0.01,0.0,0.0,Closer05
NHB,Pk,A,17,0.48,0.47,0.0,0.47,0.01,0.0,0.0,Closer05
HBC,Pk,P,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,17,0.81,0.69,0.0,0.69,0.12,0.0,0.0,Closer05
HBSch,Pk,A,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,18,64.34,62.12,0.28,62.13,2.22,1.94,0.0,Closer05
All,Pk,A,18,914.07,903.25,7.69,903.25,10.82,3.13,0.0,Closer05
HBW,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBW,Pk,A,18,746.9,740.11,6.42,740.11,6.79,0.37,0.0,Closer05
HBO,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBO,Pk,A,18,107.23,105.46,0.98,105.46,1.77,0.79,0.0,Closer05
NHB,Pk,P,18,64.34,62.12,0.28,62.13,2.22,1.94,0.0,Closer05
NHB,Pk,A,18,59.94,57.68,0.29,57.68,2.26,1.97,0.0,Closer05
HBC,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,A,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,19,915.81,835.9,8.79,836.76,79.05,45.3,0.86,Closer05
All,Pk,A,19,462.57,422.3,3.63,422.44,40.13,36.51,0.13,Closer05
HBW,Pk,P,19,203.28,196.45,3.23,196.93,6.34,3.12,0.48,Closer05
HBW,Pk,A,19,58.6,56.99,0.24,56.99,1.61,1.37,0.01,Closer05
HBO,Pk,P,19,564.54,520.04,5.1,520.4,44.14,39.04,0.36,Closer05
HBO,Pk,A,19,327.05,291.87,2.96,291.99,35.06,32.1,0.11,Closer05
NHB,Pk,P,19,81.38,78.03,0.43,78.05,3.32,2.89,0.02,Closer05
NHB,Pk,A,19,76.92,73.45,0.42,73.46,3.46,3.04,0.01,Closer05
HBC,Pk,P,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,19,66.62,41.37,0.03,41.37,25.24,0.25,0.0,Closer05
HBSch,Pk,A,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,20,499.83,457.63,5.15,458.36,41.48,28.88,0.72,Closer05
All,Pk,A,20,325.63,293.41,2.62,293.47,32.16,29.54,0.07,Closer05
HBW,Pk,P,20,119.56,115.53,2.06,115.94,3.62,1.55,0.42,Closer05
HBW,Pk,A,20,34.31,33.49,0.15,33.5,0.81,0.66,0.0,Closer05
HBO,Pk,P,20,301.29,273.42,2.77,273.72,27.58,24.81,0.29,Closer05
HBO,Pk,A,20,237.68,209.12,2.17,209.17,28.51,26.34,0.05,Closer05
NHB,Pk,P,20,56.64,53.88,0.3,53.89,2.75,2.45,0.01,Closer05
NHB,Pk,A,20,53.64,50.8,0.3,50.8,2.84,2.54,0.01,Closer05
HBC,Pk,P,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,20,22.34,14.81,0.01,14.81,7.53,0.08,0.0,Closer05
HBSch,Pk,A,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,21,41.99,40.53,0.21,40.53,1.46,1.26,0.0,Closer05
All,Pk,A,21,530.67,521.17,5.81,521.17,9.49,3.69,0.0,Closer05
HBW,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBW,Pk,A,21,472.58,465.36,5.41,465.36,7.23,1.82,0.0,Closer05
HBO,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBO,Pk,A,21,19.22,18.46,0.19,18.46,0.76,0.57,0.0,Closer05
NHB,Pk,P,21,41.99,40.53,0.21,40.53,1.46,1.26,0.0,Closer05
NHB,Pk,A,21,38.86,37.35,0.21,37.35,1.51,1.3,0.0,Closer05
HBC,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,A,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,22,6.87,6.42,0.07,6.42,0.45,0.31,0.0,Closer05
All,Pk,A,22,12.83,12.4,0.16,12.4,0.43,0.27,0.0,Closer05
HBW,Pk,P,22,1.36,1.27,0.02,1.27,0.09,0.07,0.0,Closer05
HBW,Pk,A,22,9.43,9.2,0.13,9.2,0.23,0.11,0.0,Closer05
HBO,Pk,P,22,3.93,3.69,0.04,3.69,0.24,0.21,0.0,Closer05
HBO,Pk,A,22,2.3,2.15,0.02,2.15,0.15,0.13,0.0,Closer05
NHB,Pk,P,22,1.11,1.06,0.01,1.06,0.05,0.04,0.0,Closer05
NHB,Pk,A,22,1.1,1.05,0.01,1.05,0.05,0.04,0.0,Closer05
HBC,Pk,P,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,22,0.47,0.4,0.0,0.4,0.07,0.0,0.0,Closer05
HBSch,Pk,A,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,23,14.49,13.17,0.14,13.17,1.32,0.79,0.0,Closer05
All,Pk,A,23,65.53,61.91,0.84,61.92,3.61,2.77,0.01,Closer05
HBW,Pk,P,23,2.42,2.24,0.05,2.24,0.18,0.13,0.0,Closer05
HBW,Pk,A,23,44.46,42.8,0.66,42.81,1.65,1.0,0.01,Closer05
HBO,Pk,P,23,6.98,6.4,0.07,6.4,0.58,0.51,0.0,Closer05
HBO,Pk,A,23,16.99,15.21,0.16,15.21,1.78,1.61,0.0,Closer05
NHB,Pk,P,23,4.29,4.12,0.03,4.12,0.17,0.14,0.0,Closer05
NHB,Pk,A,23,4.08,3.9,0.03,3.9,0.18,0.16,0.0,Closer05
HBC,Pk,P,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,23,0.79,0.4,0.0,0.4,0.39,0.0,0.0,Closer05
HBSch,Pk,A,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,24,526.35,461.86,5.29,462.49,63.87,37.6,0.62,Closer05
All,Pk,A,24,233.64,207.31,1.83,207.39,26.25,24.42,0.08,Closer05
HBW,Pk,P,24,119.24,113.68,2.04,114.02,5.22,3.18,0.34,Closer05
HBW,Pk,A,24,26.22,25.95,0.05,25.95,0.27,0.21,0.0,Closer05
HBO,Pk,P,24,333.19,297.45,3.03,297.65,35.54,32.52,0.2,Closer05
HBO,Pk,A,24,175.35,151.3,1.59,151.37,23.97,22.38,0.07,Closer05
NHB,Pk,P,24,33.96,32.07,0.19,32.07,1.89,1.7,0.01,Closer05
NHB,Pk,A,24,32.07,30.05,0.19,30.06,2.01,1.82,0.01,Closer05
HBC,Pk,P,24,4.0,3.93,0.0,4.0,0.0,0.0,0.07,Closer05
HBC,Pk,A,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,24,35.96,14.74,0.03,14.74,21.22,0.21,0.0,Closer05
HBSch,Pk,A,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,25,1222.44,1049.08,12.24,1054.14,168.31,106.07,5.06,Closer05
All,Pk,A,25,892.36,675.8,6.53,676.53,215.84,84.34,0.72,Closer05
HBW,Pk,P,25,257.63,240.39,4.62,242.12,15.51,10.89,1.73,Closer05
HBW,Pk,A,25,154.82,144.49,1.52,144.78,10.04,8.52,0.29,Closer05
HBO,Pk,P,25,751.47,657.2,6.86,658.3,93.17,86.31,1.1,Closer05
HBO,Pk,A,25,471.51,400.95,4.19,401.32,70.19,66.0,0.37,Closer05
NHB,Pk,P,25,128.23,119.08,0.7,119.16,9.07,8.37,0.08,Closer05
NHB,Pk,A,25,121.53,112.23,0.68,112.29,9.24,8.55,0.07,Closer05
HBC,Pk,P,25,6.0,3.85,0.0,6.0,0.0,0.0,2.15,Closer05
HBC,Pk,A,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,25,79.12,28.56,0.06,28.56,50.56,0.51,0.0,Closer05
HBSch,Pk,A,25,144.5,18.13,0.13,18.13,126.36,1.26,0.0,Closer05
All,Pk,P,26,749.85,648.46,7.46,650.72,99.13,71.72,2.26,Closer05
All,Pk,A,26,683.61,599.03,6.2,600.13,83.48,77.27,1.11,Closer05
HBW,Pk,P,26,155.49,142.38,2.79,143.66,11.83,9.04,1.28,Closer05
HBW,Pk,A,26,194.7,179.51,2.25,180.16,14.54,12.29,0.65,Closer05
HBO,Pk,P,26,439.51,380.59,4.02,381.43,58.08,54.06,0.84,Closer05
HBO,Pk,A,26,379.99,319.68,3.34,320.06,59.93,56.59,0.38,Closer05
NHB,Pk,P,26,115.05,105.92,0.62,106.01,9.05,8.42,0.09,Closer05
NHB,Pk,A,26,108.92,99.84,0.61,99.92,9.0,8.4,0.08,Closer05
HBC,Pk,P,26,1.0,0.95,0.0,1.0,0.0,0.0,0.05,Closer05
HBC,Pk,A,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
