Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
All,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBW,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBW,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBO,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBO,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
NHB,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
NHB,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBC,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBC,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBSch,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBSch,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
All,Pk,P,2,44.97,43.27,0.17,43.27,1.7,1.18,0.0,Closer02
All,Pk,A,2,22.21,20.88,0.11,20.88,1.33,1.21,0.0,Closer02
HBW,Pk,P,2,10.3,10.24,0.06,10.24,0.06,0.0,0.0,Closer02
HBW,Pk,A,2,2.21,2.21,0.0,2.21,0.0,0.0,0.0,Closer02
HBO,Pk,P,2,29.12,27.9,0.11,27.9,1.22,1.11,0.0,Closer02
HBO,Pk,A,2,16.98,15.73,0.11,15.73,1.25,1.14,0.0,Closer02
NHB,Pk,P,2,3.11,3.04,0.01,3.04,0.07,0.07,0.0,Closer02
NHB,Pk,A,2,3.02,2.95,0.01,2.95,0.08,0.07,0.0,Closer02
HBC,Pk,P,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBC,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBSch,Pk,P,2,2.45,2.1,0.0,2.1,0.35,0.0,0.0,Closer02
HBSch,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
All,Pk,P,3,74.03,69.79,0.43,70.03,4.0,3.02,0.24,Closer02
All,Pk,A,3,33.12,30.29,0.18,30.29,2.83,2.65,0.0,Closer02
HBW,Pk,P,3,15.82,15.64,0.14,15.66,0.17,0.03,0.02,Closer02
HBW,Pk,A,3,3.39,3.39,0.0,3.39,0.0,0.0,0.0,Closer02
HBO,Pk,P,3,48.82,45.45,0.28,45.68,3.14,2.87,0.22,Closer02
HBO,Pk,A,3,24.83,22.14,0.17,22.14,2.69,2.53,0.0,Closer02
NHB,Pk,P,3,5.12,4.99,0.01,4.99,0.13,0.12,0.0,Closer02
NHB,Pk,A,3,4.9,4.77,0.01,4.77,0.13,0.12,0.0,Closer02
HBC,Pk,P,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBC,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
HBSch,Pk,P,3,4.27,3.7,0.0,3.7,0.56,0.01,0.0,Closer02
HBSch,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer02
All,Pk,P,4,2.12,2.04,0.02,2.04,0.08,0.04,0.0,Closer02
All,Pk,A,4,1.01,0.97,0.01,0.97,0.04,0.04,0.0,Closer02
