SUBAREAID,PERIOD,TRIPPURP,MODE,TRIPS,scenario_id
1,pk,HBW,Walk,20386,Closer00
1,pk,HBC,Walk,26873,Closer00
1,pk,HBO,Walk,154345,Closer00
1,pk,NHB,Walk,56088,Closer00
1,pk,HBSch,Walk,69291,Closer00
1,pk,HBW,Bike,12450,Closer00
1,pk,HBC,Bike,2180,Closer00
1,pk,HBO,Bike,19426,Closer00
1,pk,NHB,Bike,5907,Closer00
1,pk,HBSch,Bike,9370,Closer00
1,pk,HBW,Auto,927364,Closer00
1,pk,HBC,Auto,79594,Closer00
1,pk,HBO,Auto,1898027,Closer00
1,pk,NHB,Auto,868432,Closer00
1,pk,HBSch,Auto,312819,Closer00
1,pk,HBW,RegAuto,927197,Closer00
1,pk,HBC,RegAuto,79594,Closer00
1,pk,HBO,RegAuto,1897166,Closer00
1,pk,NHB,RegAuto,868119,Closer00
1,pk,HBSch,RegAuto,312819,Closer00
1,pk,HBW,IMZD2D,167,Closer00
1,pk,HBC,IMZD2D,0,Closer00
1,pk,HBO,IMZD2D,861,Closer00
1,pk,NHB,IMZD2D,313,Closer00
1,pk,HBSch,IMZD2D,0,Closer00
1,pk,HBW,SchoolBus,0,Closer00
1,pk,HBC,SchoolBus,0,Closer00
1,pk,HBO,SchoolBus,0,Closer00
1,pk,NHB,SchoolBus,0,Closer00
1,pk,HBSch,SchoolBus,51271,Closer00
1,pk,HBW,LCL,9504,Closer00
1,pk,HBC,LCL,8719,Closer00
1,pk,HBO,LCL,4147,Closer00
1,pk,NHB,LCL,730,Closer00
1,pk,HBSch,LCL,0,Closer00
1,pk,HBW,COR,1028,Closer00
1,pk,HBC,COR,179,Closer00
1,pk,HBO,COR,529,Closer00
1,pk,NHB,COR,72,Closer00
1,pk,HBSch,COR,0,Closer00
1,pk,HBW,BRT,1279,Closer00
1,pk,HBC,BRT,4960,Closer00
1,pk,HBO,BRT,746,Closer00
1,pk,NHB,BRT,219,Closer00
1,pk,HBSch,BRT,0,Closer00
1,pk,HBW,EXP,498,Closer00
1,pk,HBC,EXP,109,Closer00
1,pk,HBO,EXP,44,Closer00
1,pk,NHB,EXP,15,Closer00
1,pk,HBSch,EXP,0,Closer00
1,pk,HBW,LRT,8877,Closer00
1,pk,HBC,LRT,4881,Closer00
1,pk,HBO,LRT,5006,Closer00
1,pk,NHB,LRT,770,Closer00
1,pk,HBSch,LRT,0,Closer00
1,pk,HBW,CRT,5142,Closer00
1,pk,HBC,CRT,4086,Closer00
1,pk,HBO,CRT,1099,Closer00
1,pk,NHB,CRT,222,Closer00
1,pk,HBSch,CRT,0,Closer00
1,ok,HBW,Walk,29138,Closer00
1,ok,HBC,Walk,0,Closer00
1,ok,HBO,Walk,297750,Closer00
1,ok,NHB,Walk,141383,Closer00
1,ok,HBSch,Walk,38855,Closer00
1,ok,HBW,Bike,8318,Closer00
1,ok,HBC,Bike,0,Closer00
1,ok,HBO,Bike,40683,Closer00
1,ok,NHB,Bike,12991,Closer00
1,ok,HBSch,Bike,5205,Closer00
1,ok,HBW,Auto,837297,Closer00
1,ok,HBC,Auto,0,Closer00
1,ok,HBO,Auto,3738310,Closer00
1,ok,NHB,Auto,1733070,Closer00
1,ok,HBSch,Auto,175711,Closer00
1,ok,HBW,RegAuto,837176,Closer00
1,ok,HBC,RegAuto,0,Closer00
1,ok,HBO,RegAuto,3737008,Closer00
1,ok,NHB,RegAuto,1732592,Closer00
1,ok,HBSch,RegAuto,175711,Closer00
1,ok,HBW,IMZD2D,121,Closer00
1,ok,HBC,IMZD2D,0,Closer00
1,ok,HBO,IMZD2D,1302,Closer00
1,ok,NHB,IMZD2D,478,Closer00
1,ok,HBSch,IMZD2D,0,Closer00
1,ok,HBW,SchoolBus,0,Closer00
1,ok,HBC,SchoolBus,0,Closer00
1,ok,HBO,SchoolBus,0,Closer00
1,ok,NHB,SchoolBus,0,Closer00
1,ok,HBSch,SchoolBus,28613,Closer00
1,ok,HBW,LCL,6945,Closer00
1,ok,HBC,LCL,0,Closer00
1,ok,HBO,LCL,11499,Closer00
1,ok,NHB,LCL,1825,Closer00
1,ok,HBSch,LCL,0,Closer00
1,ok,HBW,COR,737,Closer00
1,ok,HBC,COR,0,Closer00
1,ok,HBO,COR,1302,Closer00
1,ok,NHB,COR,186,Closer00
1,ok,HBSch,COR,0,Closer00
1,ok,HBW,BRT,635,Closer00
1,ok,HBC,BRT,0,Closer00
1,ok,HBO,BRT,1788,Closer00
1,ok,NHB,BRT,920,Closer00
1,ok,HBSch,BRT,0,Closer00
1,ok,HBW,EXP,0,Closer00
1,ok,HBC,EXP,0,Closer00
1,ok,HBO,EXP,0,Closer00
1,ok,NHB,EXP,0,Closer00
1,ok,HBSch,EXP,0,Closer00
1,ok,HBW,LRT,7212,Closer00
1,ok,HBC,LRT,0,Closer00
1,ok,HBO,LRT,10698,Closer00
1,ok,NHB,LRT,2176,Closer00
1,ok,HBSch,LRT,0,Closer00
1,ok,HBW,CRT,2335,Closer00
1,ok,HBC,CRT,0,Closer00
1,ok,HBO,CRT,2370,Closer00
1,ok,NHB,CRT,304,Closer00
1,ok,HBSch,CRT,0,Closer00
