Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
All,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBW,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBW,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBO,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBO,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
NHB,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
NHB,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBC,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBC,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBSch,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBSch,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
All,Pk,P,2,46.84,45.15,0.15,45.15,1.68,1.18,0.0,ShiftP05
All,Pk,A,2,22.21,20.88,0.11,20.88,1.33,1.21,0.0,ShiftP05
HBW,Pk,P,2,12.16,12.12,0.04,12.12,0.04,0.0,0.0,ShiftP05
HBW,Pk,A,2,2.21,2.21,0.0,2.21,0.0,0.0,0.0,ShiftP05
HBO,Pk,P,2,29.12,27.9,0.11,27.9,1.22,1.11,0.0,ShiftP05
HBO,Pk,A,2,16.98,15.73,0.11,15.73,1.25,1.14,0.0,ShiftP05
NHB,Pk,P,2,3.11,3.04,0.01,3.04,0.07,0.07,0.0,ShiftP05
NHB,Pk,A,2,3.02,2.95,0.01,2.95,0.08,0.07,0.0,ShiftP05
HBC,Pk,P,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBC,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBSch,Pk,P,2,2.45,2.1,0.0,2.1,0.35,0.0,0.0,ShiftP05
HBSch,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
All,Pk,P,3,76.44,72.21,0.39,72.49,3.95,3.01,0.28,ShiftP05
All,Pk,A,3,33.12,30.29,0.18,30.29,2.83,2.65,0.0,ShiftP05
HBW,Pk,P,3,18.24,18.06,0.1,18.12,0.12,0.01,0.06,ShiftP05
HBW,Pk,A,3,3.39,3.39,0.0,3.39,0.0,0.0,0.0,ShiftP05
HBO,Pk,P,3,48.82,45.45,0.28,45.68,3.14,2.87,0.22,ShiftP05
HBO,Pk,A,3,24.83,22.14,0.17,22.14,2.69,2.53,0.0,ShiftP05
NHB,Pk,P,3,5.12,4.99,0.01,4.99,0.13,0.12,0.0,ShiftP05
NHB,Pk,A,3,4.9,4.77,0.01,4.77,0.13,0.12,0.0,ShiftP05
HBC,Pk,P,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBC,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBSch,Pk,P,3,4.27,3.7,0.0,3.7,0.56,0.01,0.0,ShiftP05
HBSch,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
All,Pk,P,4,2.39,2.32,0.01,2.32,0.08,0.04,0.0,ShiftP05
All,Pk,A,4,1.01,0.97,0.01,0.97,0.04,0.04,0.0,ShiftP05
HBW,Pk,P,4,0.64,0.64,0.0,0.64,0.0,0.0,0.0,ShiftP05
HBW,Pk,A,4,0.12,0.12,0.0,0.12,0.0,0.0,0.0,ShiftP05
HBO,Pk,P,4,1.56,1.51,0.01,1.51,0.05,0.04,0.0,ShiftP05
HBO,Pk,A,4,0.86,0.82,0.01,0.82,0.04,0.04,0.0,ShiftP05
NHB,Pk,P,4,0.02,0.02,0.0,0.02,0.0,0.0,0.0,ShiftP05
NHB,Pk,A,4,0.03,0.03,0.0,0.03,0.0,0.0,0.0,ShiftP05
HBC,Pk,P,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBC,Pk,A,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ShiftP05
HBSch,Pk,P,4,0.17,0.15,0.0,0.15,0.02,0.0,0.0,ShiftP05
